HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
2941,0.1628819708,-0.4322696466,64.93,1450.34,-19.38,5.7134
2942,0.1629865601,0.6178380104,3.85,-9.25,-3.73,5.5949
3031,0.1682424183,0.5115973496,19.91,-229.04,-253.11,4.4994
3083,0.1708886041,0.8614001871,1.56,8.57,-2.41,5.564
3092,0.1715947657,0.5386300044,30.91,114.45,-84.02,3.4328
3138,0.1742095995,0.3741735362,7.87,28.64,-28.29,5.5468
3179,0.1767427477,0.986763942,14.29,50.88,-32.13,2.4107
3231,0.1794195125,0.6886837342,9.19,-15.3,-2.48,5.4579
3245,0.1803198559,-0.8043351513,13.27,-28.2,1.8,4.7591
3277,0.1822634181,-0.9861364172,14.92,90.79,57.19,5.7683
3299,0.1835094319,1.1544936392,6.31,-11.32,-8.75,5.9967
3300,0.1835420378,0.8816101611,2.28,12.24,-6.58,4.7665
3330,0.1853173948,-1.1426344249,24.37,53.07,40.94,5.494
3405,0.1891677953,-1.0029202535,13.24,-5.07,16.51,4.37
3414,0.189665711,0.8207347381,18.63,-23.71,-36.84,5.0087
3419,0.1901847668,-0.3139268585,33.86,232.55,31.99,2.2061
3455,0.192815645,-0.1851667592,13.96,-8.96,-113.82,4.9349
3478,0.1938934471,0.8353837455,5.23,-39.26,8.75,5.6246
3504,0.1951497833,0.842721449,4.64,18.84,-7.18,4.4631
3505,0.1952177877,-0.3840829574,37.39,-66.33,80.97,5.3047
3544,0.1976006164,0.9637953977,10.12,-29.07,-4.91,5.4258
3572,0.1991937852,1.3087897052,10.75,-15.07,-22.17,5.677
3583,0.1996535933,-0.8299420367,65.97,183.99,78.81,5.9251
3607,0.2015585677,-0.3930842276,10.72,197.91,-12.73,5.6612
3632,0.2031109476,0.2701003875,4.2,-29.55,-44.22,5.38
3675,0.2051799231,0.2089845859,11.52,53.7,-35.38,5.6735
3693,0.2065590047,0.4235456253,17.24,-101.17,-81.77,4.2487
3717,0.2082179093,-0.3152312886,9.18,31.37,34.5,5.8552
3721,0.2084228222,1.3063368391,4.23,15.31,-6.66,5.4062
3741,0.2095159408,-0.3791287059,9.51,21.8,-9.35,5.5593
3765,0.2110781643,0.0922125302,134.14,757.11,-1141.33,5.8775
3781,0.2119933979,-1.3076592082,15.4,132.89,-34.29,5.2343
3786,0.21241351,0.1323867455,10.48,83.1,-49.58,4.5555
3801,0.2130751275,0.8895627557,7.92,30.84,-10.02,4.8742
3810,0.2137090075,0.2956785614,42.64,-2.87,-202.05,5.1781
3821,0.2141737695,1.0090891165,167.98,1086.59,-559.43,3.5835
3849,0.2156611497,-0.2366844002,11.75,105.11,-104.3,5.7503
3881,0.2173538326,0.7169630129,5.28,22.77,-18.35,4.4853
3885,0.2176650229,0.483636173,11.29,88.17,-10.15,5.6451
3909,0.2187278845,-0.1857688369,63.48,-226.91,-229.75,5.281
3949,0.2211570738,-0.8898896994,13.47,62.69,44.74,5.3218
3951,0.2213348386,1.1213318216,5.1,28.57,-12.28,5.4654
4104,0.2298453831,-0.4189824455,5.84,37.52,33.24,5.6191
4147,0.231291792,-0.0199704193,5.56,6.99,-15.66,4.8864
4151,0.2315673258,1.0668073226,53.35,-68.95,170.15,4.9069
4200,0.2340034755,-1.0973121199,4.58,74.61,0.73,5.6532
4267,0.2381807179,0.334901383,9.25,9.86,-7.75,5.7989
4283,0.239456481,1.4609708113,11.4,60.92,-9.09,5.6279
4288,0.2398387721,0.4123941779,26.33,135.43,-48.61,5.6173
4292,0.2399968177,1.029269471,9.93,-33.5,-40.82,4.9892
4293,0.2400045454,-1.2134746977,14.7,7.37,-43.69,5.6126
4346,0.2430664917,-0.1282300351,5.42,-8.23,-45.59,5.9961
4371,0.2444556266,-0.1966376379,5.92,-28.37,-8.22,5.4752
4422,0.2472557409,1.0329062001,16.32,-92.65,-45.5,4.7838
4427,0.2474368608,1.0597071908,5.94,25.17,-3.92,2.1379
4436,0.2476256935,0.671938763,25.14,153.48,36.49,3.9034
4440,0.247759729,1.0535304413,6.06,26.13,-3.79,5.5488
4463,0.2496131947,0.4087170143,14.2,-43.47,-45.73,4.5603
4510,0.2523563119,0.5060099684,5.03,5.24,-7.43,5.6103
4572,0.2553270338,1.1580578174,9.31,43.81,-13.62,5.9731
