HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
23179,1.3057517526,0.6613136766,19.13,46.35,-97.8,4.9506
23221,1.308301781,-0.1791230119,18.53,20.19,-136.07,5.5358
23231,1.3086851845,-0.2188154998,11.24,39.67,-87.04,4.8507
23265,1.3105035085,1.417102999,8.49,1.24,27.9,5.2506
23362,1.315218885,-0.3499713401,16.48,36.43,-16.46,4.8902
23364,1.3152761239,-0.1252095387,4.41,1.71,6.29,4.7314
23416,1.3175878239,0.7648611127,1.53,-0.86,-2.66,3.1457
23430,1.318433788,-0.4585825238,13.99,86.16,-75.99,5.1748
23453,1.3198092592,0.7169095101,4.15,9.45,-20.71,3.8549
23467,1.3208509872,-1.2446697928,4.11,-4.24,10.22,5.4696
23474,1.3209920472,-0.3978493366,6.97,63.43,14.15,5.9053
23482,1.321266993,-0.8578550414,38.35,-43.67,27.37,5.4746
23497,1.3225017176,0.3768176618,18.88,68.88,-41.06,4.6767
23522,1.3239120368,1.0549168193,3.74,-6.5,-14.15,4.1838
23554,1.3259597444,-0.4256518946,17.19,26.3,-38.52,5.6276
23595,1.3282182352,-0.6192929193,17.99,126.17,-43.67,4.701
23607,1.3289328455,0.2688536675,8.93,17.8,-31.15,4.6541
23649,1.3306646557,-0.8652963724,7.35,68.96,-2.2,5.1708
23668,1.3319908608,-0.4564426909,13.12,10.22,-62.43,5.8714
23680,1.3325381104,0.0205536269,2.65,12.13,-4.42,5.8483
23685,1.3328244678,-0.3904451062,15.29,21.13,-73.11,3.3215
23693,1.3330454212,-1.0030928961,85.87,-30.97,117.22,4.8191
23734,1.3357920959,1.0292623902,4.76,-7.31,-7.85,5.2033
23767,1.3374217332,0.7196802464,13.4,31.45,-67.87,3.116
23783,1.3381336327,0.9005574856,38.04,-30.49,-172.89,5.0584
23794,1.3384964122,-0.0812479228,10.56,10.7,-0.78,5.0924
23835,1.3414801411,0.3254167586,64.79,534.73,17.93,5.0444
23840,1.3420135607,-1.1065312458,5.77,13.41,-43.83,5.225
23871,1.3430620264,0.3563692607,17.21,-46,-31.08,5.3302
23875,1.3432514979,-0.0887720313,36.5,-82.82,-75.39,2.8258
23879,1.3433852404,0.148328085,15.47,32.14,-58.12,5.4153
23883,1.3435715362,0.3788208514,3.02,2.56,-5.08,5.8667
23900,1.3443851131,0.4235074201,2.18,0.91,-5.09,5.517
23916,1.3453716347,-0.1512375571,4.79,3.93,-20.76,5.7845
23941,1.3470790576,-0.0777761671,39.28,56.14,16.46,5.2135
23972,1.348905565,-0.1527874491,4.02,0.25,-1.97,4.1942
23983,1.3496925165,0.1715588428,18.28,65.41,-7.69,5.498
24010,1.3513182167,0.2722237487,6.06,-2.71,-15.75,4.8886
24109,1.3557478337,0.8196491224,20.54,58.34,-149.99,5.7743
24162,1.3583846104,-0.043472414,26.58,81.48,1.34,5.9989
24169,1.358655368,-0.2068080309,6.71,32.09,56.71,5.2571
24197,1.3600159302,0.2800495574,9.5,4.57,6.18,5.3003
24244,1.3626576225,-0.207155625,14.07,24.39,-31.02,4.426
24254,1.3629894164,1.2906141503,8.63,1.45,-26.9,5.4022
24305,1.365420021,-0.2828380962,17.54,47.09,-16.39,3.2528
24327,1.3667298829,-0.2258680976,4.48,-12.29,-0.79,4.3328
24331,1.3669912965,0.0499382994,9.32,0.83,3.91,4.6378
24340,1.367591396,0.671684271,21.32,-19.18,-72.93,4.8902
24372,1.3690236694,-1.172605562,6.64,19.19,37.55,4.9799
24426,1.3721806145,-0.6279176425,6.56,10.77,14.57,5.9087
24450,1.3732870481,0.089991433,6.71,-5.89,7.92,5.6513
24504,1.3762220619,0.5705057235,11.42,-25.05,12,5.076
24505,1.3762186899,-0.4702516889,11.73,10.08,-29.59,5.0438
24555,1.3791111188,0.1979442421,7.36,-8.44,-6.52,5.5245
24659,1.3852840724,-0.6090219882,30.82,92.67,-336.23,4.9799
24674,1.3858204357,-0.1194570697,6.6,-17.61,-9.24,3.5544
24679,1.3861002255,-0.2359634171,20.4,-7.63,-49.16,5.6446
24727,1.3883038363,0.5824513503,14.04,31.63,-160.73,4.6925
24732,1.3885005198,1.2787702175,8.99,-8.42,-28.04,5.8126
24738,1.38867723,0.7468645197,5.79,17.98,-30.61,5.5156
24799,1.3919014847,0.5890218425,7.89,14.17,-29.75,5.3217
24813,1.3924875581,0.6998886748,79.17,518.99,-665.06,4.8232
24817,1.3927167144,0.0453076254,16.14,-17.74,-53.15,5.4331
24822,1.3931065219,0.3856600125,13.19,18.91,-81.57,5.1166
24829,1.3935082361,-0.883250397,28,23.64,227.43,5.5501
24831,1.3936226541,-0.4776767942,7.46,-3.08,-8,5.9799
24845,1.3944108819,-0.2299781465,3.83,-3.3,-4.91,4.202
24873,1.3961929123,-0.2149478503,9.78,-13.32,7.18,5.257
24879,1.3963303823,0.5926799966,1.57,0.09,-3.54,5.121
24902,1.3973312321,0.7170918896,11.77,-18.97,-53.43,5.5089
24914,1.3979079846,1.0935136425,1.59,-4.64,-2.5,5.7361
24927,1.3982204833,-0.3707033828,7.84,11.39,-10.3,4.6925
25001,1.4015494463,0.5160918461,11.29,-0.4,0.91,5.6897
25028,1.4029424709,-0.007269194,3.25,0.76,0.75,5.6293
25041,1.4037946162,0.1471061873,2.29,-1.46,-2.37,5.7445
25044,1.4039535925,-0.0066753503,3.51,1.23,1.13,4.6616
25045,1.4039914023,-0.4323695392,9.27,-20.42,-13.99,5.189
25048,1.4041468516,0.7296290183,6.16,14.42,-37.32,5.173
25110,1.4074464129,1.3828375774,47.88,-78.48,161.95,5.19
25142,1.4086262456,0.0618622831,2.1,-0.53,1.47,4.9403
25143,1.4086497489,0.7160955583,11.15,-12.9,2.66,5.5885
25187,1.4106995523,-0.1468797163,8.15,-2.53,-3.52,5.9845
25194,1.4110990301,-0.6925193425,5.02,26.7,4.36,5.7816
25197,1.4113769686,1.0043415428,9.7,15.94,-54.99,5.2468
25202,1.4115463654,-0.2430781113,1.98,0.06,-1.6,5.1642
25223,1.4124301397,-0.0027892669,3.72,2.08,-2.64,5.6235
25247,1.4134866308,-0.1362745288,20.73,-14.82,-45.02,4.2952
25278,1.4155573142,0.303400215,69.51,251.05,-7.99,5.1149
25280,1.4157869848,-0.2962825928,14.65,34.64,-15.39,5.6519
25281,1.415797791,-0.0418379705,3.34,-0.71,-3.46,3.2919
25282,1.41581916,-0.0155625641,17.48,-4.23,140.26,5.2306
25291,1.4165184255,0.543550734,4.73,-10.47,-5.84,5.9587
25292,1.4165631872,0.6524978864,6.98,0.71,-11.51,5.152
25302,1.4169765703,0.0322265629,3.14,0.21,-0.21,4.8229
25329,1.4182067145,-0.1802723579,7.47,1.79,-16.68,5.7281
25397,1.4224304603,-0.3437487576,22.21,5.43,-21.84,5.934
25429,1.4238451929,-1.0282188167,7.12,-10.2,32.04,5.2987
25471,1.4259924186,0.6002506285,1.55,0.11,-7.16,5.9676
25473,1.4260960449,0.0540297568,2.87,1.71,-1.94,4.5111
25488,1.4271933942,-0.7146036486,10.88,1.27,105.69,5.931
25492,1.4274082843,0.5272397747,2.27,-0.93,-4.22,5.7621
25499,1.4275403417,0.3135007111,5.94,7.7,-20.54,5.3743
25539,1.4295762125,0.3828725657,5.22,0.05,-7.06,4.8286
25541,1.4296346344,0.6017194766,7.2,-1.89,-38.74,5.2363
25555,1.4301232219,0.2770553712,7.69,4.76,-21.83,5.5302
25583,1.4312863833,0.3008815279,5.32,17.42,-44.91,5.8679
25606,1.4322409127,-0.3623169486,20.34,-5.02,-86.01,2.9674
25608,1.4322845881,-0.6498023351,11.39,11.54,69.06,5.5758
25695,1.4367326914,0.4389556572,7.67,11.48,-37.2,5.4671
25708,1.4372569453,-0.0601505168,6.62,-27.17,-9.2,5.9638
25737,1.4387317306,-0.0190620637,6.42,1.16,-25.84,4.8168
25751,1.4395165267,0.0312284953,2.28,1.29,-1.33,5.6981
25768,1.4405847204,-0.8216544823,22.66,20.61,-133.26,5.5921
25769,1.4406390989,1.100730848,3.47,-5.63,-4.63,5.5061
25790,1.4418000273,0.2680920407,12.89,-15.15,-39.31,5.9716
25813,1.4433180541,0.1038159841,10.77,5.1,-33.3,4.1585
25853,1.4448143594,-0.3641377208,12.01,7.21,-42.06,5.5454
25859,1.4451861014,-0.6190758935,12.39,27.9,-34.72,4.0314
25861,1.4453167499,0.0574585954,2.87,-0.22,-1.5,5.3929
25918,1.448089639,-1.3324133806,31.89,142.5,286.85,5.3394
25923,1.4483222278,-0.1274356737,1.14,-0.1,-4.87,4.5203
25930,1.4486523477,-0.0052201652,4.71,0.64,-0.69,2.1361
25945,1.4495505844,0.324530801,1.82,1.86,-4.48,4.3349
25950,1.449651909,0.2977209419,1.09,-4.01,-11.79,5.5036
25980,1.4516306645,-0.0277827209,2.09,-1.95,0.8,5.2744
25984,1.4517993541,0.5618569416,0.01,-1.52,-4.33,4.8053
25985,1.4518095186,-0.3110576781,1.47,3.56,1.18,2.6426
25993,1.4523595092,-0.6721846917,18.93,48.4,-11,5.6187
26001,1.4529520469,-1.1209815903,14.08,32.88,-1.53,5.5046
26019,1.4535186619,-0.6132966203,12.67,100.02,-27.62,5.9213
26063,1.455273486,-0.0201772532,2.22,-0.82,-1.07,5.2902
26064,1.4552867901,0.323588073,2.1,2.78,-0.05,5.6614
26069,1.4557148642,-1.0906537318,3.24,0.79,12.74,3.903
26093,1.4569343349,0.24967968,7.31,-0.94,-5.31,5.5652
26126,1.4585709419,0.0657453944,11.82,-29.96,-16.25,5.3527
26169,1.4606065758,-1.2870296451,3,0.73,37.68,5.7968
26176,1.4609306049,0.1656245106,3,0.27,-2.26,4.3451
26197,1.461786419,-0.1048815359,1.21,0.48,-1.5,5.5912
26199,1.4619082256,-0.1047551641,2.02,-0.66,0.01,4.6889
26207,1.4623152277,0.1733838532,2.97,-0.34,-2.94,3.3298
26215,1.4626760044,0.1787234966,2.91,0.99,-5.38,5.6409
26219,1.4628371465,-0.5773550767,10.82,29.67,116.4,5.9318
26220,1.4628631949,-0.0940257687,-52.82,58.94,-15.67,4.8593
26221,1.4629107026,-0.0940679537,-13,-4.13,6.82,4.6103
26224,1.4629638242,-0.0940327099,-27.24,-7.11,8.29,4.7663
26235,1.4633785697,-0.0945281431,2.11,2.29,0.96,4.9953
26237,1.4633976092,-0.0844449725,3.69,4.52,-7.11,4.5178
26241,1.4636026456,-0.1031472111,1.4,1.42,-0.46,2.6706
26248,1.4636855113,0.419570834,5.9,15.52,-19.67,5.348
26268,1.464584681,-0.0847546964,9.07,-0.42,7.44,5.3137
26344,1.468638187,0.9499597475,4.37,-6.7,-11.08,5.8333
26345,1.4686722724,-0.1058498997,2.12,-0.22,0.05,5.6299
26366,1.4700276123,0.162165732,27.76,97.24,-305.57,4.235
26382,1.4707096686,0.2974112429,20.58,42.24,-33.69,5.5961
26394,1.4710793126,-1.4044956729,54.6,312.01,1050.38,5.7855
26396,1.4710826096,0.4699216594,6.46,13.19,-22.79,5.8125
26427,1.4724292841,-0.1036443829,2.45,1.78,-2.13,5.9561
26451,1.4732530972,0.3690078584,7.33,1.78,-20.07,2.9184
26460,1.4736864274,-0.5007313623,24.51,-37.66,42.42,5.3864
26487,1.4748841084,0.1316232305,4.18,10.78,-15.93,5.8523
26535,1.4775646719,-0.1147372088,2.43,0.61,-0.17,5.8817
26536,1.4775738939,0.5321935223,5.76,-21.32,-10.1,5.4441
26545,1.4779685722,-0.7104774195,7.42,-1.48,18.86,5.7894
26549,1.4780587022,-0.045379706,3.04,22.63,13.45,3.6811
26551,1.4781210811,-0.0453730849,6.38,0.79,-0.9,3.7103
26563,1.4786641631,-0.1258855117,22.42,-15.04,-49.5,4.8242
26594,1.4799770884,0.0719331608,2.36,0.84,0,4.4935
26634,1.4819983319,-0.5947043514,12.48,1.58,-24.82,2.6124
26640,1.4823803246,0.4519905149,7.63,11.04,-23.59,5.1278
26649,1.4827918411,-0.569485911,7.73,-15.74,-32.19,5.6007
26736,1.4872180251,-0.0197010303,3.63,-1.5,-0.84,4.8716
26777,1.4891814982,0.2885759415,5.13,3.5,-15.47,4.8026
26865,1.4932715919,-0.390495375,3.28,0.58,9.04,5.9088
26868,1.493361224,-0.6050696404,7.61,5,50.79,5.2851
26882,1.4941798864,1.1466412028,11.96,-0.05,-21.52,5.7831
26885,1.4943410376,0.0257377564,11.11,-54.06,-14.6,5.0619
26966,1.4981949154,-0.3238884826,13.32,18.92,-13.99,5.7349
27072,1.503017555,-0.3917825525,112.02,-291.67,-368.97,3.6977
27100,1.5043588521,-1.1473016199,21.8,-28.91,5.17,4.3927
27196,1.5092770601,0.8696327001,7.89,-6.97,-1.22,5.4871
27204,1.5097020144,-0.5638527022,2.45,2.98,-22.24,5.071
27243,1.5116999171,-0.8132749164,6.95,7.38,16.25,5.4772
27249,1.5119183325,0.9794040456,16.45,19.51,-58.85,5.9824
27265,1.5130181877,0.2761547958,4.44,3.68,-2.31,5.9859
27280,1.5135025814,0.1661989721,10.95,-32.08,-65.5,5.9385
27288,1.5138803932,-0.2586917834,46.28,-14.54,-1.07,3.5778
27316,1.5150293982,0.2528707083,9.6,6.55,-41.17,5.7503
27321,1.5153154641,-0.8912822871,51.44,4.65,83.1,3.9077
27338,1.5159782525,0.309432086,1.83,-2.17,-4.81,5.5454
27364,1.5171932557,0.2425943338,5.15,4.97,-12.95,5.2279
27366,1.5173738329,-0.1687663889,5.04,1.46,-1.28,2.0065
27386,1.518453292,0.1126472246,6.06,0,-24.36,5.3227
27468,1.5228695333,0.4287847074,8.97,10.44,-8.3,5.0445
27483,1.5235604125,0.6838397871,15.77,-28.3,-24.97,4.678
27511,1.5251954899,0.2208079918,13.11,-22.98,-18.22,4.8712
27517,1.5254581076,-0.2527856362,12.19,-20.22,-47.84,5.6458
27530,1.5264051001,-0.9802901529,18.45,81.13,-71.12,4.6622
27533,1.5266910922,-0.4009357084,5.87,-14.8,20.71,5.894
27534,1.5266942925,-1.1676467479,5.68,-21.81,17.32,5.0585
27549,1.5273577492,0.1722853291,9.1,15.59,-2.99,5.9456
27566,1.5283847792,-1.3851198725,11.44,-4.1,65.66,5.4416
27581,1.529265018,0.2496815437,10.3,7.27,-37.53,5.7182
27621,1.531033261,-0.9094681631,12.72,2.67,-76.45,5.3293
27628,1.5313484549,-0.6242919202,37.41,54.77,404.2,3.2833
27629,1.531389108,0.4881307753,9.34,-2.97,11.67,5.7547
27639,1.5317016947,0.6511069788,6.24,36.85,-45.52,4.8122
27654,1.5329192531,-0.3643813549,28.68,229.49,-648.41,3.9262
27658,1.5331250975,-0.1312138962,3.11,0.31,-0.51,5.2864
27673,1.5336639114,0.6832698715,14.16,10.33,1.73,4.1381
27713,1.536451926,-0.1578122983,10.11,-2.76,32.09,5.9961
27743,1.5375116065,0.2473444629,7.69,-17.75,-3.01,5.5857
27750,1.5378127106,0.0323786108,2.59,-7.16,-8.24,4.9281
27766,1.5383013861,-0.6567846896,10.13,30.6,-29.27,5.7862
27810,1.5407537073,-0.5899464101,9.75,-4.72,31.32,4.8321
27830,1.5416815884,0.4819252887,7.71,3.72,-10.11,4.5611
27890,1.5450454619,-1.1011460457,38.1,118.57,572.93,4.8015
27913,1.5462951088,0.3538901962,115.43,-162.54,-99.51,4.5219
27938,1.5477860175,-0.2054996212,4.92,75.18,27.5,5.7444
27947,1.54826038,-0.9186727751,28.82,-17.45,243.33,5.3642
27949,1.548309639,0.9722689041,13.69,-4.85,17.29,4.9918
27955,1.5484338564,-0.6973970846,6.44,-12.82,20.4,5.6606
27965,1.5487387543,0.3446959598,1.79,1.4,-4.52,5.8677
27971,1.5488215426,1.0452499781,6.96,2.3,-18.43,5.2145
27973,1.5489084755,0.553303108,11.77,-46.05,-179.36,5.9493
28010,1.5511533935,-0.6478768542,9.8,36.9,-25.35,5.1402
28098,1.5548660385,-0.5477271647,1.96,0.08,6.04,5.6132
28103,1.5551115116,-0.2472789146,67.21,-42.06,139.26,3.7888
28110,1.5553818523,0.1659706733,8.33,-0.62,-8.17,5.9701
28199,1.5600488723,-0.6158098753,3.75,-3.24,10.21,4.3092
28237,1.5620447847,0.4529812846,2.1,-2.06,-1.95,4.7985
28271,1.5638469512,0.0320639277,8.95,6.42,-8.45,5.9578
28287,1.5648008818,-0.7685485021,2.76,-11.66,10,5.9845
28296,1.5656753136,0.0096512124,7.32,-15.13,1.66,5.2248
28302,1.5659415215,0.2235462642,4.11,-8.55,2.37,5.8528
28325,1.5667462647,-0.166821006,11.39,10.86,-46.07,5.0983
28328,1.5670722719,-0.7472645958,6.91,18.39,-10.87,4.1205
28358,1.5687274033,0.9474516638,25.88,81.81,-132.98,3.8904
28380,1.5695773717,0.6494852553,19.7,43.63,-73.79,2.6103
28404,1.5705128069,0.8017475929,4.34,-2.44,-7.34,4.3115
28413,1.5710396203,-0.0536527651,7.75,7.21,-73.42,4.6893
28484,1.574374096,-0.8938974778,15.34,-28.8,95.68,5.7164
28499,1.5750548471,0.8360471698,2.82,3.6,-20.99,5.7169
28524,1.5763445929,-0.5918720664,5.31,4.91,-26.91,5.6569
28574,1.5788267251,-0.1849689386,4.16,-5.89,2.94,4.929
28614,1.5811948901,0.1683783322,21.05,10.43,-39.09,4.1792
28675,1.5850179282,-0.4587554417,8.02,66.88,85.35,5.177
28691,1.5858759974,0.3436659774,4.54,9.27,-19.9,5.1135
28716,1.5878993645,0.3514824043,1.81,1.88,-2.1,4.6946
28734,1.5887744152,0.4060269757,21.03,-1.61,-118.33,4.3198
28744,1.5892316296,-0.1170932722,2.48,-3.7,4.98,5.221
28756,1.5897241641,-0.5615199628,3.24,-16.28,122.06,5.5825
28812,1.5924811379,0.094596321,2.49,-8.43,-1.12,5.8371
28814,1.5924936687,0.0725826038,0.69,-0.99,-3.05,5.7947
28816,1.5925498667,-0.287707527,3.59,-5.85,-3.74,4.9878
28823,1.5928616701,0.7501771617,20.11,-45.17,-144.26,5.9839
28854,1.5945778608,-0.1787681273,18.21,22.14,26.54,5.9699
28855,1.5945887246,-0.6198307587,12.03,13.65,16.21,5.8186
28899,1.5973785384,-0.5193841906,11.73,11.51,-41.15,5.8133
28909,1.597657113,-1.1526100092,10.14,13.57,27.6,5.7068
28910,1.5976550551,-0.2606699208,18.88,-17.61,12.79,4.689
28943,1.5993108788,-0.4033591394,7.09,-10.61,-27.16,5.4956
28946,1.5995280597,0.6716510812,9.57,9.84,-52.54,5.4204
28949,1.599793545,-0.0731960514,3.08,-7.76,-4.74,5.3357
28984,1.6011590199,-0.3806962831,2.6,-5.79,-3.45,5.7503
28991,1.6015841426,-1.0847991209,9.02,21.72,-69.82,5.2044
28992,1.6016063745,-0.5988577527,3.2,2.47,-0.13,5.8024
29034,1.6036399377,-0.6501861243,4.52,0.12,0.41,4.9753
29038,1.6038355394,0.2577593535,6.32,6.78,-20.23,4.3588
29048,1.6043670202,-0.3345098719,3.89,12.29,55.89,5.372
29064,1.6051842295,-0.7357261193,13.43,-11,-16.4,5.5105
29134,1.6089277104,-1.2015449971,10.88,-50.84,19.01,5.031
29150,1.6099111419,-0.3914299346,13.24,-3.06,-52.39,5.4933
29151,1.6099138383,0.0436284613,4.98,-0.31,-14.12,5.7324
29205,1.612577599,-0.254550871,15.67,-15.41,30.96,5.7277
29225,1.6132649434,0.4034061474,0.23,-0.92,-2.65,5.7995
29234,1.6135500846,-0.3974898401,20.39,87.26,59.69,5.8084
29246,1.6143564522,1.0286211149,8.56,16.98,18.56,5.5222
29263,1.6151873153,-0.704309642,3.83,-20.37,73.69,5.5869
29271,1.6154624555,-1.3046777354,98.06,121.8,-212.34,5.2164
29276,1.6157322323,-0.9593841134,2.51,-4.9,7.41,4.637
29294,1.6169520281,-0.4739302682,9.89,-9.08,-55.82,5.8769
29353,1.6198848093,-1.144756306,5.09,-22.83,118.59,5.0769
29379,1.6211421907,0.4262160182,5.74,2.82,-51.24,5.9977
29388,1.6214529541,0.8501695082,9.76,14.77,-56.65,5.8281
29417,1.6225610589,-0.1143239949,2.73,-2.72,-1.83,4.9864
29426,1.6228941691,0.2479905929,5.37,0.29,-20.12,4.3991
29433,1.6232535827,0.3454106358,3.92,1.68,-12.75,5.7467
29434,1.6233944575,0.2815294063,6.17,5.49,-16.8,4.9122
29451,1.6246200954,0.5706072891,3.5,-7.35,-4.06,5.8635
29490,1.6268688676,1.1470041905,4.56,6.97,-31.72,5.5162
29575,1.6314642947,-0.065300155,10.61,-17.89,21.21,5.9929
29616,1.6339616009,0.3125252679,6.17,-3.19,-12.17,5.9353
29629,1.6345522262,-0.0797347237,5.1,-6.11,3.22,5.7712
29650,1.635587013,0.3343507957,48.04,-97.29,-183.23,5.2959
29651,1.6356161402,-0.1095146552,6.55,-4.69,-19.3,4.1465
29655,1.6357150549,0.3928181795,8.48,-62.46,-12.12,3.2945
29678,1.6368612082,0.2417468178,2.73,25.25,11.45,5.8291
29696,1.6378996235,0.5148496508,18.43,-70.88,-261.42,4.4867
29704,1.6380734527,0.2817520967,6.24,2.23,-13.68,5.3072
29716,1.6387447046,-0.0089301293,26.89,-157.54,-217.82,5.7306
29730,1.6391919858,1.0471806944,6.63,28.21,-23.65,5.5184
29735,1.6395098478,-0.239431018,8,11.57,-11.46,4.9835
29736,1.6395162092,0.2190575063,2.8,-1.8,-1.1,5.485
29771,1.6411691991,-0.2900389654,4.19,-7.83,1.06,5.9081
29800,1.6425417273,0.2141817527,51.95,82.52,185.47,5.1382
29807,1.6430191653,-0.6133214618,17.87,-0.28,87.94,4.5365
29842,1.6450622748,-0.658646236,10.92,1.06,83.56,5.7066
29850,1.645454002,0.1735299889,14.47,6.21,-60.55,5.4326
29852,1.6456689538,-0.6501952357,16.15,-5.96,-23.06,5.9287
29860,1.6461544455,0.0890064858,51.95,-187.72,170.69,5.8305
29895,1.6480077013,-0.2934930537,5.27,-13.82,1.65,5.316
29919,1.6489603174,1.073644391,5.11,-10.59,-3.11,5.0034
29941,1.6503347456,-0.3484897554,4.1,-5.74,7.06,5.4529
29996,1.6530144571,-0.1638857761,6.94,3.76,-22.88,5.5309
29997,1.6530289548,1.209862836,18.64,-2.12,-101.99,4.7792
30011,1.6536250957,-0.3652209821,1.86,-2.77,3.49,5.7333
30060,1.6564185904,1.0299345941,20.83,-5.35,23.86,4.4594
30069,1.6566776748,-0.6003338375,8,3.98,1.59,5.7368
30073,1.6568120316,-0.1365355377,3.74,-3.31,0.37,5.2032
30093,1.6580340164,-0.0513910527,7.02,-6.42,-1.26,5.0033
30099,1.6583702373,0.2557111355,5.5,-5.68,-16.89,5.7744
30122,1.6594290263,-0.5247049047,9,7.32,4.03,2.9524
30143,1.6606981813,-0.595928587,1.68,0.32,20.21,5.4788
30214,1.6642236414,-0.2054818607,2.96,-4.47,1.54,5.5389
30247,1.6657791917,0.9329202843,16.89,21.98,-88.69,5.4401
30277,1.6672872363,-0.5835730521,13.94,-24.23,-51.4,3.9932
30321,1.6695696106,-1.2214534548,5.27,26.78,33.82,5.6847
30342,1.6708523292,-0.9838407166,20.72,-39.96,-20.13,5.6731
30343,1.6709775899,0.3929408129,14.08,56.39,-110.03,2.9141
30419,1.6745050725,0.08016016,26.67,-22.06,10.91,4.4559
30436,1.6752189289,-0.4464121075,3.22,2.98,-39.81,5.7311
30444,1.6755901885,-0.640673657,9.85,-12.66,54.68,5.7866
30457,1.6762689862,-0.201236635,9.36,-56.2,-32.78,5.372
30463,1.6765254105,-1.0521088727,10.75,-31.68,30.06,5.7871
30520,1.6794359369,0.8602361161,0.82,-0.66,-1.82,5.0056
30545,1.6810725534,-0.0164995196,29.79,239.67,-217.55,5.9959
30565,1.6819629631,-1.2163336889,12.08,-11.68,200.27,5.5411
30591,1.6830541206,-0.8408446411,5.55,-2.73,-20.54,5.7478
30651,1.6861235969,0.9823593335,13.34,-26.74,21.44,5.5976
30666,1.6871218773,-0.0263067284,13.8,-8.82,-29.57,5.8997
30679,1.6877973254,1.0195762051,5.21,-5.82,-2,5.3358
30703,1.688906813,-1.0123277166,5.79,-8.66,-5.79,5.9884
30717,1.689606689,0.0052231837,3.84,3.37,-8.67,5.3736
30720,1.6897398197,-0.004816878,4.71,2.38,-5.39,5.7052
30728,1.6900951271,0.0507586438,10.59,-43.36,12.82,5.7109
30772,1.6927928078,-0.0831151381,3,-5.78,-2.86,4.9912
30788,1.6937124082,-0.5686305299,7.7,-14.41,25.21,4.4188
30827,1.6954483722,0.5322044696,-1.1,-1.71,-15.73,5.9029
30836,1.6956898626,-0.3048397794,7.15,17.26,9.99,5.9273
30840,1.6958233183,-0.5649857215,3.78,-2.94,8.22,5.671
30867,1.6965381174,-0.1227499079,4.82,-6.86,-2.76,3.7921
30883,1.697172009,0.3527688585,5.99,-6.82,-13.1,4.0991
30932,1.6994081674,-0.9922693247,10.72,-38.33,31.75,5.3654
30953,1.7009052775,-0.8768352564,19.44,-67.94,-49.01,5.3084
31037,1.7050625597,-0.4846707625,2.65,-7.79,5.64,5.8667
31072,1.7070118089,-0.6153832177,5.3,-3.51,9.19,5.9704
31079,1.7073842902,-0.9045379601,27.09,102.31,105.05,5.7004
31084,1.7077333798,-0.2162796128,8.9,42.14,-19.1,5.327
31119,1.709570983,0.2014868066,15.71,19.39,28.51,5.2842
31121,1.7097003527,-0.1423871182,4.67,-10.93,-22.23,5.5935
31125,1.7097949453,-0.408728828,2.36,-2.91,6.22,4.2586
31137,1.7102998918,-1.0254479718,4.31,-1.34,1.77,5.679
31165,1.7119740558,-0.6579282881,11.94,73.46,-76.45,5.4125
31167,1.7121047036,-0.1024284591,23.9,-0.27,-40.87,5.6741
31173,1.7124009093,0.5664455678,12.41,-26.16,-17.35,5.8784
31190,1.7132572556,-0.5590368836,1.86,-2.85,4.28,5.6609
31216,1.7143663549,0.127984629,0.83,-0.2,-3.48,4.5019
31277,1.7174165584,0.2470578919,12.98,-12.6,-86.97,5.734
31278,1.7175436639,-0.0212949448,5.89,2.21,-17.69,5.0482
31299,1.7183851039,-0.6323723636,8.33,-15.57,98.99,5.5671
31362,1.7217185058,-0.5710064727,6.2,2.22,2.84,5.5963
31407,1.7234099048,-0.9245992449,2.39,-7.65,10.54,4.3706
31416,1.7237584259,-0.4008119534,7.39,13.95,18.56,4.533
31434,1.7243898079,0.4890821669,8.82,0.31,-13.9,5.268
31446,1.7246637875,0.015537308,2.14,-3.36,-1.46,5.7994
31457,1.7252742767,-0.6419308798,6.4,-8.21,21.25,5.5514
31564,1.7295382073,-0.3256774596,9.3,-10.09,13.06,5.8699
31579,1.730263987,0.6710014689,0.38,-0.5,-19.9,5.3488
31583,1.7304452517,-0.090950998,4.33,1.79,-13.8,5.4943
31592,1.7308574846,-0.336075528,50.63,62.57,-69.97,4.12
31637,1.7332459051,-0.64560923,2.85,-9.53,13.57,5.6824
31665,1.7350317275,0.9923507039,9.83,-11.98,9.38,5.8799
31685,1.7355606227,-0.7539110968,8.78,-0.44,-3.87,3.1395
31688,1.735696758,-0.5644375693,8.11,108.06,64.6,5.417
31700,1.7361245261,-0.3183036734,7.74,-7.32,-8.72,4.5975
31737,1.7382766199,0.5058730639,9.41,-16.61,-15.94,5.7655
31765,1.7393393168,-0.8416018051,6.84,1.6,19.01,5.209
31771,1.7394790915,0.687504672,6.68,-26.77,-110.01,5.8516
31789,1.7401795568,0.6964315398,2.38,-8.68,-11.61,5.3219
31827,1.7421815788,-0.2468898576,3.3,5.11,-6.65,4.9771
31832,1.742407791,0.7415731527,7.84,-0.87,-54.97,4.9636
31852,1.7433747582,0.4932851632,3.87,-6.24,-10.81,5.9973
31870,1.744068666,-0.5318022456,13.63,-7.08,-191.51,5.8707
31897,1.7455407601,-1.4104655398,7.88,-4.97,52.73,5.6721
31940,1.7474263438,1.3612834603,4.67,14.39,-5.54,5.8765
